SOUND,VOICING,SEGMENT,SEGMENT3,SEGMENT2,STOP,SEGMENT4,STIMULUS,GENERAL_TYPE,PLACE,TYPE,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,SpaceBar.keys,SpaceBar.rt,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,participant,Gender,Age,frameRate,OtherLanguages,NativeLanguage,expName,date,
,,,,,,,,,,,,,,,,,,,space,8.17592406273,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/dabi.wav,yes,d,b,a,yes,i,dabi,Training,alveolar,TrainingItems,0,0,0,69,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/dubi.wav,yes,d,b,u,yes,i,dubi,Training,alveolar,TrainingItems,0,1,1,42,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/fifa.wav,no,f,f,i,no,a,fifa,Training,bilabial,TrainingItems,0,2,2,96,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/budi.wav,yes,b,d,u,yes,i,budi,Training,bilabial,TrainingItems,0,3,3,29,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/papu.wav,no,p,p,a,yes,u,papu,Training,bilabial,TrainingItems,0,4,4,85,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/fufa.wav,no,f,f,u,no,a,fufa,Training,bilabial,TrainingItems,0,5,5,28,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/daba.wav,yes,d,b,a,yes,a,daba,Training,alveolar,TrainingItems,0,6,6,89,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/dadu.wav,yes,d,d,a,yes,u,dadu,Training,alveolar,TrainingItems,0,7,7,44,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/pipa.wav,no,p,p,i,yes,a,pipa,Training,bilabial,TrainingItems,0,8,8,48,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/pipi.wav,no,p,p,i,yes,i,pipi,Training,bilabial,TrainingItems,0,9,9,35,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/fifi.wav,no,f,f,i,no,i,fifi,Training,bilabial,TrainingItems,0,10,10,59,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/sifi.wav,no,s,f,i,no,i,sifi,Training,alveolar,TrainingItems,0,11,11,12,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/vuzu.wav,yes,v,z,u,no,u,vuzu,Training,bilabial,TrainingItems,0,12,12,63,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/viza.wav,yes,v,z,i,no,a,viza,Training,bilabial,TrainingItems,0,13,13,91,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/vazi.wav,yes,v,z,a,no,i,vazi,Training,bilabial,TrainingItems,0,14,14,84,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/titi.wav,no,t,t,i,yes,i,titi,Training,alveolar,TrainingItems,0,15,15,18,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/dadi.wav,yes,d,d,a,yes,i,dadi,Training,alveolar,TrainingItems,0,16,16,34,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/tata.wav,no,t,t,a,yes,a,tata,Training,alveolar,TrainingItems,0,17,17,61,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/zuvi.wav,yes,z,v,u,no,i,zuvi,Training,alveolar,TrainingItems,0,18,18,15,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/fisu.wav,no,f,s,i,no,u,fisu,Training,bilabial,TrainingItems,0,19,19,23,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/dudu.wav,yes,d,d,u,yes,u,dudu,Training,alveolar,TrainingItems,0,20,20,47,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/papa.wav,no,p,p,a,yes,a,papa,Training,bilabial,TrainingItems,0,21,21,38,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/duda.wav,yes,d,d,u,yes,a,duda,Training,alveolar,TrainingItems,0,22,22,31,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/bidi.wav,yes,b,d,i,yes,i,bidi,Training,bilabial,TrainingItems,0,23,23,82,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/babu.wav,yes,b,b,a,yes,u,babu,Training,bilabial,TrainingItems,0,24,24,66,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/diba.wav,yes,d,b,i,yes,a,diba,Training,alveolar,TrainingItems,0,25,25,51,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/didi.wav,yes,d,d,i,yes,i,didi,Training,alveolar,TrainingItems,0,26,26,54,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/fasu.wav,no,f,s,a,no,u,fasu,Training,bilabial,TrainingItems,0,27,27,11,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/didu.wav,yes,d,d,i,yes,u,didu,Training,alveolar,TrainingItems,0,28,28,19,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/fafu.wav,no,f,f,a,no,u,fafu,Training,bilabial,TrainingItems,0,29,29,40,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/sisa.wav,no,s,s,i,no,a,sisa,Training,alveolar,TrainingItems,0,30,30,49,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/zuzu.wav,yes,z,z,u,no,u,zuzu,Training,alveolar,TrainingItems,0,31,31,88,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/dubu.wav,yes,d,b,u,yes,u,dubu,Training,alveolar,TrainingItems,0,32,32,10,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/fufu.wav,no,f,f,u,no,u,fufu,Training,bilabial,TrainingItems,0,33,33,6,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/tutu.wav,no,t,t,u,yes,u,tutu,Training,alveolar,TrainingItems,0,34,34,76,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/papi.wav,no,p,p,a,yes,i,papi,Training,bilabial,TrainingItems,0,35,35,74,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/sasi.wav,no,s,s,a,no,i,sasi,Training,alveolar,TrainingItems,0,36,36,99,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/vazu.wav,yes,v,z,a,no,u,vazu,Training,bilabial,TrainingItems,0,37,37,32,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/zuvu.wav,yes,z,v,u,no,u,zuvu,Training,alveolar,TrainingItems,0,38,38,86,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/zavu.wav,yes,z,v,a,no,u,zavu,Training,alveolar,TrainingItems,0,39,39,9,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/vuza.wav,yes,v,z,u,no,a,vuza,Training,bilabial,TrainingItems,0,40,40,1,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/ziza.wav,yes,z,z,i,no,a,ziza,Training,alveolar,TrainingItems,0,41,41,37,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/zazi.wav,yes,z,z,a,no,i,zazi,Training,alveolar,TrainingItems,0,42,42,73,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/dada.wav,yes,d,d,a,yes,a,dada,Training,alveolar,TrainingItems,0,43,43,13,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/duba.wav,yes,d,b,u,yes,a,duba,Training,alveolar,TrainingItems,0,44,44,22,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/fasa.wav,no,f,s,a,no,a,fasa,Training,bilabial,TrainingItems,0,45,45,25,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/fufi.wav,no,f,f,u,no,i,fufi,Training,bilabial,TrainingItems,0,46,46,45,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/zaza.wav,yes,z,z,a,no,a,zaza,Training,alveolar,TrainingItems,0,47,47,94,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/fusu.wav,no,f,s,u,no,u,fusu,Training,bilabial,TrainingItems,0,48,48,57,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/sisi.wav,no,s,s,i,no,i,sisi,Training,alveolar,TrainingItems,0,49,49,8,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/tati.wav,no,t,t,a,yes,i,tati,Training,alveolar,TrainingItems,0,50,50,20,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/dibi.wav,yes,d,b,i,yes,i,dibi,Training,alveolar,TrainingItems,0,51,51,90,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/tatu.wav,no,t,t,a,yes,u,tatu,Training,alveolar,TrainingItems,0,52,52,64,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/vaza.wav,yes,v,z,a,no,a,vaza,Training,bilabial,TrainingItems,0,53,53,27,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/fifu.wav,no,f,f,i,no,u,fifu,Training,bilabial,TrainingItems,0,54,54,71,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
Recordings/vuvi.wav,yes,v,v,u,no,i,vuvi,Training,bilabial,TrainingItems,0,55,55,53,,,,,,,,,,,92,F,21,59.8784244864,,American English,VSH_Exp2,2015_Nov_19_1620,
