SOUND,VOICING,SEGMENT,SEGMENT3,SEGMENT2,STOP,SEGMENT4,STIMULUS,GENERAL_TYPE,PLACE,TYPE,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,SpaceBar.keys,SpaceBar.rt,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,participant,Gender,Age,frameRate,OtherLanguages,NativeLanguage,expName,date
,,,,,,,,,,,,,,,,,,,space,6.7756989,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/pipa.wav,no,p,p,i,yes,a,pipa,Training,bilabial,TrainingItems,0,0,0,30,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/safa.wav,no,s,f,a,no,a,safa,Training,alveolar,TrainingItems,0,1,1,73,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/sasi.wav,no,s,s,a,no,i,sasi,Training,alveolar,TrainingItems,0,2,2,77,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/tapa.wav,no,t,p,a,yes,a,tapa,Training,alveolar,TrainingItems,0,3,3,22,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/zizu.wav,yes,z,z,i,no,u,zizu,Training,alveolar,TrainingItems,0,4,4,32,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/zuzu.wav,yes,z,z,u,no,u,zuzu,Training,alveolar,TrainingItems,0,5,5,5,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/ziva.wav,yes,z,v,i,no,a,ziva,Training,alveolar,TrainingItems,0,6,6,49,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/sifu.wav,no,s,f,i,no,u,sifu,Training,alveolar,TrainingItems,0,7,7,48,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/fifu.wav,no,f,f,i,no,u,fifu,Training,bilabial,TrainingItems,0,8,8,70,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/fafi.wav,no,f,f,a,no,i,fafi,Training,bilabial,TrainingItems,0,9,9,12,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/sisa.wav,no,s,s,i,no,a,sisa,Training,alveolar,TrainingItems,0,10,10,80,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/pupu.wav,no,p,p,u,yes,u,pupu,Training,bilabial,TrainingItems,0,11,11,92,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/pipi.wav,no,p,p,i,yes,i,pipi,Training,bilabial,TrainingItems,0,12,12,4,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/fufi.wav,no,f,f,u,no,i,fufi,Training,bilabial,TrainingItems,0,13,13,96,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/fasi.wav,no,f,s,a,no,i,fasi,Training,bilabial,TrainingItems,0,14,14,81,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/vuza.wav,yes,v,z,u,no,a,vuza,Training,bilabial,TrainingItems,0,15,15,33,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/vivu.wav,yes,v,v,i,no,u,vivu,Training,bilabial,TrainingItems,0,16,16,1,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/fufu.wav,no,f,f,u,no,u,fufu,Training,bilabial,TrainingItems,0,17,17,51,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/vizi.wav,yes,v,z,i,no,i,vizi,Training,bilabial,TrainingItems,0,18,18,7,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/zuva.wav,yes,z,v,u,no,a,zuva,Training,alveolar,TrainingItems,0,19,19,15,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/piti.wav,no,p,t,i,yes,i,piti,Training,bilabial,TrainingItems,0,20,20,8,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/biba.wav,yes,b,b,i,yes,a,biba,Training,bilabial,TrainingItems,0,21,21,64,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/sisi.wav,no,s,s,i,no,i,sisi,Training,alveolar,TrainingItems,0,22,22,87,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/zavu.wav,yes,z,v,a,no,u,zavu,Training,alveolar,TrainingItems,0,23,23,9,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
