"SEGMENT","VOICING","STOP","PLACE","SEGMENT2","SEGMENT3","SEGMENT4","STIMULUS","TYPE","GENERAL_TYPE","SOUND"
"d","yes","yes","alveolar","a","d","i","dadi","TrainingItems","Training","Recordings/dadi.wav"
"d","yes","yes","alveolar","u","d","a","duda","TrainingItems","Training","Recordings/duda.wav"
"b","yes","yes","bilabial","i","b","i","bibi","TrainingItems","Training","Recordings/bibi.wav"
"b","yes","yes","bilabial","u","b","i","bubi","TrainingItems","Training","Recordings/bubi.wav"
"p","no","yes","bilabial","u","t","u","putu","TrainingItems","Training","Recordings/putu.wav"
"t","no","yes","alveolar","a","p","i","tapi","TrainingItems","Training","Recordings/tapi.wav"
"p","no","yes","bilabial","a","t","a","pata","TrainingItems","Training","Recordings/pata.wav"
"z","yes","no","alveolar","u","z","u","zuzu","TrainingItems","Training","Recordings/zuzu.wav"
"p","no","yes","bilabial","u","p","a","pupa","TrainingItems","Training","Recordings/pupa.wav"
"p","no","yes","bilabial","i","t","a","pita","TrainingItems","Training","Recordings/pita.wav"
"z","yes","no","alveolar","i","v","i","zivi","TrainingItems","Training","Recordings/zivi.wav"
"v","yes","no","bilabial","i","v","i","vivi","TrainingItems","Training","Recordings/vivi.wav"
"d","yes","yes","alveolar","a","b","a","daba","TrainingItems","Training","Recordings/daba.wav"
"t","no","yes","alveolar","a","t","u","tatu","TrainingItems","Training","Recordings/tatu.wav"
"z","yes","no","alveolar","u","z","i","zuzi","TrainingItems","Training","Recordings/zuzi.wav"
"b","yes","yes","bilabial","a","d","i","badi","TrainingItems","Training","Recordings/badi.wav"
"z","yes","no","alveolar","u","z","a","zuza","TrainingItems","Training","Recordings/zuza.wav"
"b","yes","yes","bilabial","a","b","u","babu","TrainingItems","Training","Recordings/babu.wav"
"d","yes","yes","alveolar","a","d","u","dadu","TrainingItems","Training","Recordings/dadu.wav"
"p","no","yes","bilabial","u","t","i","puti","TrainingItems","Training","Recordings/puti.wav"
"t","no","yes","alveolar","a","t","i","tati","TrainingItems","Training","Recordings/tati.wav"
"f","no","no","bilabial","i","f","u","fifu","TrainingItems","Training","Recordings/fifu.wav"
"p","no","yes","bilabial","i","p","i","pipi","TrainingItems","Training","Recordings/pipi.wav"
"d","yes","yes","alveolar","i","b","i","dibi","TrainingItems","Training","Recordings/dibi.wav"
"d","yes","yes","alveolar","u","b","a","duba","TrainingItems","Training","Recordings/duba.wav"
"t","no","yes","alveolar","i","p","i","tipi","TrainingItems","Training","Recordings/tipi.wav"
"t","no","yes","alveolar","a","p","a","tapa","TrainingItems","Training","Recordings/tapa.wav"
"f","no","no","bilabial","i","f","a","fifa","TrainingItems","Training","Recordings/fifa.wav"
"b","yes","yes","bilabial","i","b","u","bibu","TrainingItems","Training","Recordings/bibu.wav"
"z","yes","no","alveolar","i","v","u","zivu","TrainingItems","Training","Recordings/zivu.wav"
"b","yes","yes","bilabial","u","d","i","budi","TrainingItems","Training","Recordings/budi.wav"
"t","no","yes","alveolar","u","p","i","tupi","TrainingItems","Training","Recordings/tupi.wav"
"z","yes","no","alveolar","a","z","a","zaza","TrainingItems","Training","Recordings/zaza.wav"
"v","yes","no","bilabial","i","z","a","viza","TrainingItems","Training","Recordings/viza.wav"
