"SOUND","VOICING","SEGMENT","SEGMENT3","SEGMENT2","STOP","SEGMENT4","STIMULUS","GENERAL_TYPE","PLACE","TYPE","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","SpaceBar.keys","SpaceBar.rt","key_resp_2.keys","key_resp_2.rt","rating.response","rating.rt","participant","Gender","Age","frameRate","OtherLanguages","NativeLanguage","expName","date","X34"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"space",5.97569584846,NA,NA,NA,NA,120,FALSE,21,60.161595472,NA,"American English","VSH_Exp2","2016_Mar_24_1419",NA
"Recordings/sifu.wav","no","s","f","i","no","u","sifu","Training","alveolar","TrainingItems",0,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,FALSE,21,60.161595472,NA,"American English","VSH_Exp2","2016_Mar_24_1419",NA
"Recordings/bibu.wav","yes","b","b","i","yes","u","bibu","Training","bilabial","TrainingItems",0,1,1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,FALSE,21,60.161595472,NA,"American English","VSH_Exp2","2016_Mar_24_1419",NA
"Recordings/tuti.wav","no","t","t","u","yes","i","tuti","Training","alveolar","TrainingItems",0,2,2,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,FALSE,21,60.161595472,NA,"American English","VSH_Exp2","2016_Mar_24_1419",NA
"Recordings/tita.wav","no","t","t","i","yes","a","tita","Training","alveolar","TrainingItems",0,3,3,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,FALSE,21,60.161595472,NA,"American English","VSH_Exp2","2016_Mar_24_1419",NA
"Recordings/bubi.wav","yes","b","b","u","yes","i","bubi","Training","bilabial","TrainingItems",0,4,4,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,FALSE,21,60.161595472,NA,"American English","VSH_Exp2","2016_Mar_24_1419",NA
"Recordings/vavi.wav","yes","v","v","a","no","i","vavi","Training","bilabial","TrainingItems",0,5,5,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,FALSE,21,60.161595472,NA,"American English","VSH_Exp2","2016_Mar_24_1419",NA
"Recordings/fasi.wav","no","f","s","a","no","i","fasi","Training","bilabial","TrainingItems",0,6,6,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,FALSE,21,60.161595472,NA,"American English","VSH_Exp2","2016_Mar_24_1419",NA
"Recordings/dadu.wav","yes","d","d","a","yes","u","dadu","Training","alveolar","TrainingItems",0,7,7,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,FALSE,21,60.161595472,NA,"American English","VSH_Exp2","2016_Mar_24_1419",NA
"Recordings/puti.wav","no","p","t","u","yes","i","puti","Training","bilabial","TrainingItems",0,8,8,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,FALSE,21,60.161595472,NA,"American English","VSH_Exp2","2016_Mar_24_1419",NA
"Recordings/pita.wav","no","p","t","i","yes","a","pita","Training","bilabial","TrainingItems",0,9,9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,FALSE,21,60.161595472,NA,"American English","VSH_Exp2","2016_Mar_24_1419",NA
"Recordings/fasa.wav","no","f","s","a","no","a","fasa","Training","bilabial","TrainingItems",0,10,10,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,FALSE,21,60.161595472,NA,"American English","VSH_Exp2","2016_Mar_24_1419",NA
"Recordings/tatu.wav","no","t","t","a","yes","u","tatu","Training","alveolar","TrainingItems",0,11,11,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,FALSE,21,60.161595472,NA,"American English","VSH_Exp2","2016_Mar_24_1419",NA
"Recordings/pupu.wav","no","p","p","u","yes","u","pupu","Training","bilabial","TrainingItems",0,12,12,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,FALSE,21,60.161595472,NA,"American English","VSH_Exp2","2016_Mar_24_1419",NA
"Recordings/pupa.wav","no","p","p","u","yes","a","pupa","Training","bilabial","TrainingItems",0,13,13,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,FALSE,21,60.161595472,NA,"American English","VSH_Exp2","2016_Mar_24_1419",NA
"Recordings/fafu.wav","no","f","f","a","no","u","fafu","Training","bilabial","TrainingItems",0,14,14,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,FALSE,21,60.161595472,NA,"American English","VSH_Exp2","2016_Mar_24_1419",NA
"Recordings/bibi.wav","yes","b","b","i","yes","i","bibi","Training","bilabial","TrainingItems",0,15,15,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,FALSE,21,60.161595472,NA,"American English","VSH_Exp2","2016_Mar_24_1419",NA
"Recordings/dadi.wav","yes","d","d","a","yes","i","dadi","Training","alveolar","TrainingItems",0,16,16,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,FALSE,21,60.161595472,NA,"American English","VSH_Exp2","2016_Mar_24_1419",NA
"Recordings/babi.wav","yes","b","b","a","yes","i","babi","Training","bilabial","TrainingItems",0,17,17,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,FALSE,21,60.161595472,NA,"American English","VSH_Exp2","2016_Mar_24_1419",NA
"Recordings/vuva.wav","yes","v","v","u","no","a","vuva","Training","bilabial","TrainingItems",0,18,18,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,FALSE,21,60.161595472,NA,"American English","VSH_Exp2","2016_Mar_24_1419",NA
"Recordings/tati.wav","no","t","t","a","yes","i","tati","Training","alveolar","TrainingItems",0,19,19,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,FALSE,21,60.161595472,NA,"American English","VSH_Exp2","2016_Mar_24_1419",NA
"Recordings/vavu.wav","yes","v","v","a","no","u","vavu","Training","bilabial","TrainingItems",0,20,20,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,FALSE,21,60.161595472,NA,"American English","VSH_Exp2","2016_Mar_24_1419",NA
"Recordings/pupi.wav","no","p","p","u","yes","i","pupi","Training","bilabial","TrainingItems",0,21,21,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,FALSE,21,60.161595472,NA,"American English","VSH_Exp2","2016_Mar_24_1419",NA
"Recordings/tupi.wav","no","t","p","u","yes","i","tupi","Training","alveolar","TrainingItems",0,22,22,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,FALSE,21,60.161595472,NA,"American English","VSH_Exp2","2016_Mar_24_1419",NA
"Recordings/tupu.wav","no","t","p","u","yes","u","tupu","Training","alveolar","TrainingItems",0,23,23,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,FALSE,21,60.161595472,NA,"American English","VSH_Exp2","2016_Mar_24_1419",NA
"Recordings/buda.wav","yes","b","d","u","yes","a","buda","Training","bilabial","TrainingItems",0,24,24,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,FALSE,21,60.161595472,NA,"American English","VSH_Exp2","2016_Mar_24_1419",NA
"Recordings/zuza.wav","yes","z","z","u","no","a","zuza","Training","alveolar","TrainingItems",0,25,25,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,FALSE,21,60.161595472,NA,"American English","VSH_Exp2","2016_Mar_24_1419",NA
"Recordings/sisa.wav","no","s","s","i","no","a","sisa","Training","alveolar","TrainingItems",0,26,26,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,FALSE,21,60.161595472,NA,"American English","VSH_Exp2","2016_Mar_24_1419",NA
